DateID,Date,Year,Month,MonthNo,DayOfWeek,DayOfWeekNo,isHoliday
226,2018-08-14,2018,August,8,Tuesday,3,0
227,2018-08-15,2018,August,8,Wednesday,4,0
228,2018-08-16,2018,August,8,Thursday,5,0
229,2018-08-17,2018,August,8,Friday,6,0
230,2018-08-18,2018,August,8,Saturday,7,0
231,2018-08-19,2018,August,8,Sunday,1,0
232,2018-08-20,2018,August,8,Monday,2,0
233,2018-08-21,2018,August,8,Tuesday,3,0
234,2018-08-22,2018,August,8,Wednesday,4,0
235,2018-08-23,2018,August,8,Thursday,5,0
236,2018-08-24,2018,August,8,Friday,6,0
237,2018-08-25,2018,August,8,Saturday,7,0
238,2018-08-26,2018,August,8,Sunday,1,0
239,2018-08-27,2018,August,8,Monday,2,0
240,2018-08-28,2018,August,8,Tuesday,3,0
241,2018-08-29,2018,August,8,Wednesday,4,0
242,2018-08-30,2018,August,8,Thursday,5,0
243,2018-08-31,2018,August,8,Friday,6,0
244,2018-09-01,2018,September,9,Saturday,7,0
245,2018-09-02,2018,September,9,Sunday,1,0
246,2018-09-03,2018,September,9,Monday,2,0
247,2018-09-04,2018,September,9,Tuesday,3,0
248,2018-09-05,2018,September,9,Wednesday,4,0
249,2018-09-06,2018,September,9,Thursday,5,0
250,2018-09-07,2018,September,9,Friday,6,0
251,2018-09-08,2018,September,9,Saturday,7,0
252,2018-09-09,2018,September,9,Sunday,1,0
253,2018-09-10,2018,September,9,Monday,2,0
254,2018-09-11,2018,September,9,Tuesday,3,0
255,2018-09-12,2018,September,9,Wednesday,4,0
256,2018-09-13,2018,September,9,Thursday,5,0
257,2018-09-14,2018,September,9,Friday,6,0
258,2018-09-15,2018,September,9,Saturday,7,0
259,2018-09-16,2018,September,9,Sunday,1,0
260,2018-09-17,2018,September,9,Monday,2,0
261,2018-09-18,2018,September,9,Tuesday,3,0
262,2018-09-19,2018,September,9,Wednesday,4,0
263,2018-09-20,2018,September,9,Thursday,5,0
264,2018-09-21,2018,September,9,Friday,6,0
265,2018-09-22,2018,September,9,Saturday,7,0
266,2018-09-23,2018,September,9,Sunday,1,0
267,2018-09-24,2018,September,9,Monday,2,0
268,2018-09-25,2018,September,9,Tuesday,3,0
269,2018-09-26,2018,September,9,Wednesday,4,0
270,2018-09-27,2018,September,9,Thursday,5,0
271,2018-09-28,2018,September,9,Friday,6,0
272,2018-09-29,2018,September,9,Saturday,7,0
273,2018-09-30,2018,September,9,Sunday,1,0
274,2018-10-01,2018,October,10,Monday,2,0
275,2018-10-02,2018,October,10,Tuesday,3,0
276,2018-10-03,2018,October,10,Wednesday,4,0
277,2018-10-04,2018,October,10,Thursday,5,0
278,2018-10-05,2018,October,10,Friday,6,0
279,2018-10-06,2018,October,10,Saturday,7,0
280,2018-10-07,2018,October,10,Sunday,1,0
281,2018-10-08,2018,October,10,Monday,2,0
282,2018-10-09,2018,October,10,Tuesday,3,0
283,2018-10-10,2018,October,10,Wednesday,4,0
284,2018-10-11,2018,October,10,Thursday,5,0
285,2018-10-12,2018,October,10,Friday,6,0
286,2018-10-13,2018,October,10,Saturday,7,0
287,2018-10-14,2018,October,10,Sunday,1,0
288,2018-10-15,2018,October,10,Monday,2,0
289,2018-10-16,2018,October,10,Tuesday,3,0
290,2018-10-17,2018,October,10,Wednesday,4,0
291,2018-10-18,2018,October,10,Thursday,5,0
292,2018-10-19,2018,October,10,Friday,6,0
293,2018-10-20,2018,October,10,Saturday,7,0
294,2018-10-21,2018,October,10,Sunday,1,0
295,2018-10-22,2018,October,10,Monday,2,0
296,2018-10-23,2018,October,10,Tuesday,3,0
297,2018-10-24,2018,October,10,Wednesday,4,0
298,2018-10-25,2018,October,10,Thursday,5,0
299,2018-10-26,2018,October,10,Friday,6,0
300,2018-10-27,2018,October,10,Saturday,7,0
301,2018-10-28,2018,October,10,Sunday,1,0
302,2018-10-29,2018,October,10,Monday,2,0
303,2018-10-30,2018,October,10,Tuesday,3,0
304,2018-10-31,2018,October,10,Wednesday,4,0
305,2018-11-01,2018,November,11,Thursday,5,0
306,2018-11-02,2018,November,11,Friday,6,0
307,2018-11-03,2018,November,11,Saturday,7,0
308,2018-11-04,2018,November,11,Sunday,1,0
309,2018-11-05,2018,November,11,Monday,2,0
310,2018-11-06,2018,November,11,Tuesday,3,0
311,2018-11-07,2018,November,11,Wednesday,4,0
312,2018-11-08,2018,November,11,Thursday,5,0
313,2018-11-09,2018,November,11,Friday,6,0
314,2018-11-10,2018,November,11,Saturday,7,0
315,2018-11-11,2018,November,11,Sunday,1,0
316,2018-11-12,2018,November,11,Monday,2,0
317,2018-11-13,2018,November,11,Tuesday,3,0
318,2018-11-14,2018,November,11,Wednesday,4,0
319,2018-11-15,2018,November,11,Thursday,5,0
320,2018-11-16,2018,November,11,Friday,6,0
321,2018-11-17,2018,November,11,Saturday,7,0
322,2018-11-18,2018,November,11,Sunday,1,0
323,2018-11-19,2018,November,11,Monday,2,0
324,2018-11-20,2018,November,11,Tuesday,3,0
325,2018-11-21,2018,November,11,Wednesday,4,0
326,2018-11-22,2018,November,11,Thursday,5,0
327,2018-11-23,2018,November,11,Friday,6,0
328,2018-11-24,2018,November,11,Saturday,7,0
329,2018-11-25,2018,November,11,Sunday,1,0
330,2018-11-26,2018,November,11,Monday,2,0
331,2018-11-27,2018,November,11,Tuesday,3,0
332,2018-11-28,2018,November,11,Wednesday,4,0
333,2018-11-29,2018,November,11,Thursday,5,0
334,2018-11-30,2018,November,11,Friday,6,0
335,2018-12-01,2018,December,12,Saturday,7,0
336,2018-12-02,2018,December,12,Sunday,1,0
337,2018-12-03,2018,December,12,Monday,2,0
338,2018-12-04,2018,December,12,Tuesday,3,0
339,2018-12-05,2018,December,12,Wednesday,4,0
340,2018-12-06,2018,December,12,Thursday,5,0
341,2018-12-07,2018,December,12,Friday,6,0
342,2018-12-08,2018,December,12,Saturday,7,0
343,2018-12-09,2018,December,12,Sunday,1,0
344,2018-12-10,2018,December,12,Monday,2,0
345,2018-12-11,2018,December,12,Tuesday,3,0
346,2018-12-12,2018,December,12,Wednesday,4,0
347,2018-12-13,2018,December,12,Thursday,5,0
348,2018-12-14,2018,December,12,Friday,6,0
349,2018-12-15,2018,December,12,Saturday,7,0
350,2018-12-16,2018,December,12,Sunday,1,0
351,2018-12-17,2018,December,12,Monday,2,0
352,2018-12-18,2018,December,12,Tuesday,3,0
353,2018-12-19,2018,December,12,Wednesday,4,0
354,2018-12-20,2018,December,12,Thursday,5,0
355,2018-12-21,2018,December,12,Friday,6,0
356,2018-12-22,2018,December,12,Saturday,7,0
357,2018-12-23,2018,December,12,Sunday,1,0
358,2018-12-24,2018,December,12,Monday,2,0
359,2018-12-25,2018,December,12,Tuesday,3,0
360,2018-12-26,2018,December,12,Wednesday,4,0
361,2018-12-27,2018,December,12,Thursday,5,0
362,2018-12-28,2018,December,12,Friday,6,0
363,2018-12-29,2018,December,12,Saturday,7,0
364,2018-12-30,2018,December,12,Sunday,1,0
365,2018-12-31,2018,December,12,Monday,2,0
366,2019-01-01,2019,January,1,Tuesday,3,0
367,2019-01-02,2019,January,1,Wednesday,4,0
368,2019-01-03,2019,January,1,Thursday,5,0
369,2019-01-04,2019,January,1,Friday,6,0
370,2019-01-05,2019,January,1,Saturday,7,0
371,2019-01-06,2019,January,1,Sunday,1,0
372,2019-01-07,2019,January,1,Monday,2,0
373,2019-01-08,2019,January,1,Tuesday,3,0
374,2019-01-09,2019,January,1,Wednesday,4,0
375,2019-01-10,2019,January,1,Thursday,5,0
376,2019-01-11,2019,January,1,Friday,6,0
377,2019-01-12,2019,January,1,Saturday,7,0
378,2019-01-13,2019,January,1,Sunday,1,0
379,2019-01-14,2019,January,1,Monday,2,0
380,2019-01-15,2019,January,1,Tuesday,3,0
381,2019-01-16,2019,January,1,Wednesday,4,0
382,2019-01-17,2019,January,1,Thursday,5,0
383,2019-01-18,2019,January,1,Friday,6,0
384,2019-01-19,2019,January,1,Saturday,7,0
385,2019-01-20,2019,January,1,Sunday,1,0
386,2019-01-21,2019,January,1,Monday,2,0
387,2019-01-22,2019,January,1,Tuesday,3,0
388,2019-01-23,2019,January,1,Wednesday,4,0
389,2019-01-24,2019,January,1,Thursday,5,0
390,2019-01-25,2019,January,1,Friday,6,0
391,2019-01-26,2019,January,1,Saturday,7,0
392,2019-01-27,2019,January,1,Sunday,1,0
393,2019-01-28,2019,January,1,Monday,2,0
394,2019-01-29,2019,January,1,Tuesday,3,0
395,2019-01-30,2019,January,1,Wednesday,4,0
396,2019-01-31,2019,January,1,Thursday,5,0
397,2019-02-01,2019,February,2,Friday,6,0
398,2019-02-02,2019,February,2,Saturday,7,0
399,2019-02-03,2019,February,2,Sunday,1,0
400,2019-02-04,2019,February,2,Monday,2,0
401,2019-02-05,2019,February,2,Tuesday,3,0
402,2019-02-06,2019,February,2,Wednesday,4,0
403,2019-02-07,2019,February,2,Thursday,5,0
404,2019-02-08,2019,February,2,Friday,6,0
405,2019-02-09,2019,February,2,Saturday,7,0
406,2019-02-10,2019,February,2,Sunday,1,0
407,2019-02-11,2019,February,2,Monday,2,0
408,2019-02-12,2019,February,2,Tuesday,3,0
409,2019-02-13,2019,February,2,Wednesday,4,0
410,2019-02-14,2019,February,2,Thursday,5,0
411,2019-02-15,2019,February,2,Friday,6,0
412,2019-02-16,2019,February,2,Saturday,7,0
413,2019-02-17,2019,February,2,Sunday,1,0
414,2019-02-18,2019,February,2,Monday,2,0
415,2019-02-19,2019,February,2,Tuesday,3,0
416,2019-02-20,2019,February,2,Wednesday,4,0
417,2019-02-21,2019,February,2,Thursday,5,0
418,2019-02-22,2019,February,2,Friday,6,0
419,2019-02-23,2019,February,2,Saturday,7,0
420,2019-02-24,2019,February,2,Sunday,1,0
421,2019-02-25,2019,February,2,Monday,2,0
422,2019-02-26,2019,February,2,Tuesday,3,0
423,2019-02-27,2019,February,2,Wednesday,4,0
424,2019-02-28,2019,February,2,Thursday,5,0
425,2019-03-01,2019,March,3,Friday,6,0
426,2019-03-02,2019,March,3,Saturday,7,0
427,2019-03-03,2019,March,3,Sunday,1,0
428,2019-03-04,2019,March,3,Monday,2,0
429,2019-03-05,2019,March,3,Tuesday,3,0
430,2019-03-06,2019,March,3,Wednesday,4,0
431,2019-03-07,2019,March,3,Thursday,5,0
432,2019-03-08,2019,March,3,Friday,6,0
433,2019-03-09,2019,March,3,Saturday,7,0
434,2019-03-10,2019,March,3,Sunday,1,0
435,2019-03-11,2019,March,3,Monday,2,0
436,2019-03-12,2019,March,3,Tuesday,3,0
437,2019-03-13,2019,March,3,Wednesday,4,0
438,2019-03-14,2019,March,3,Thursday,5,0
439,2019-03-15,2019,March,3,Friday,6,0
440,2019-03-16,2019,March,3,Saturday,7,0
441,2019-03-17,2019,March,3,Sunday,1,0
442,2019-03-18,2019,March,3,Monday,2,0
443,2019-03-19,2019,March,3,Tuesday,3,0
444,2019-03-20,2019,March,3,Wednesday,4,0
445,2019-03-21,2019,March,3,Thursday,5,0
446,2019-03-22,2019,March,3,Friday,6,0
447,2019-03-23,2019,March,3,Saturday,7,0
448,2019-03-24,2019,March,3,Sunday,1,0
449,2019-03-25,2019,March,3,Monday,2,0
450,2019-03-26,2019,March,3,Tuesday,3,0
451,2019-03-27,2019,March,3,Wednesday,4,0
452,2019-03-28,2019,March,3,Thursday,5,0
453,2019-03-29,2019,March,3,Friday,6,0
454,2019-03-30,2019,March,3,Saturday,7,0
455,2019-03-31,2019,March,3,Sunday,1,0
456,2019-04-01,2019,April,4,Monday,2,0
457,2019-04-02,2019,April,4,Tuesday,3,0
458,2019-04-03,2019,April,4,Wednesday,4,0
459,2019-04-04,2019,April,4,Thursday,5,0
460,2019-04-05,2019,April,4,Friday,6,0
461,2019-04-06,2019,April,4,Saturday,7,0
462,2019-04-07,2019,April,4,Sunday,1,0
463,2019-04-08,2019,April,4,Monday,2,0
464,2019-04-09,2019,April,4,Tuesday,3,0
465,2019-04-10,2019,April,4,Wednesday,4,0
466,2019-04-11,2019,April,4,Thursday,5,0
467,2019-04-12,2019,April,4,Friday,6,0
468,2019-04-13,2019,April,4,Saturday,7,0
469,2019-04-14,2019,April,4,Sunday,1,0
470,2019-04-15,2019,April,4,Monday,2,0
471,2019-04-16,2019,April,4,Tuesday,3,0
472,2019-04-17,2019,April,4,Wednesday,4,0
473,2019-04-18,2019,April,4,Thursday,5,0
474,2019-04-19,2019,April,4,Friday,6,0
475,2019-04-20,2019,April,4,Saturday,7,0
476,2019-04-21,2019,April,4,Sunday,1,0
477,2019-04-22,2019,April,4,Monday,2,0
478,2019-04-23,2019,April,4,Tuesday,3,0
479,2019-04-24,2019,April,4,Wednesday,4,0
480,2019-04-25,2019,April,4,Thursday,5,0
481,2019-04-26,2019,April,4,Friday,6,0
482,2019-04-27,2019,April,4,Saturday,7,0
483,2019-04-28,2019,April,4,Sunday,1,0
484,2019-04-29,2019,April,4,Monday,2,0
485,2019-04-30,2019,April,4,Tuesday,3,0
486,2019-05-01,2019,May,5,Wednesday,4,0
487,2019-05-02,2019,May,5,Thursday,5,0
488,2019-05-03,2019,May,5,Friday,6,0
489,2019-05-04,2019,May,5,Saturday,7,0
490,2019-05-05,2019,May,5,Sunday,1,0
491,2019-05-06,2019,May,5,Monday,2,0
492,2019-05-07,2019,May,5,Tuesday,3,0
493,2019-05-08,2019,May,5,Wednesday,4,0
494,2019-05-09,2019,May,5,Thursday,5,0
495,2019-05-10,2019,May,5,Friday,6,0
496,2019-05-11,2019,May,5,Saturday,7,0
497,2019-05-12,2019,May,5,Sunday,1,0
498,2019-05-13,2019,May,5,Monday,2,0
499,2019-05-14,2019,May,5,Tuesday,3,0
500,2019-05-15,2019,May,5,Wednesday,4,0
501,2019-05-16,2019,May,5,Thursday,5,0
502,2019-05-17,2019,May,5,Friday,6,0
503,2019-05-18,2019,May,5,Saturday,7,0
504,2019-05-19,2019,May,5,Sunday,1,0
505,2019-05-20,2019,May,5,Monday,2,0
506,2019-05-21,2019,May,5,Tuesday,3,0
507,2019-05-22,2019,May,5,Wednesday,4,0
508,2019-05-23,2019,May,5,Thursday,5,0
509,2019-05-24,2019,May,5,Friday,6,0
510,2019-05-25,2019,May,5,Saturday,7,0
511,2019-05-26,2019,May,5,Sunday,1,0
512,2019-05-27,2019,May,5,Monday,2,0
513,2019-05-28,2019,May,5,Tuesday,3,0
514,2019-05-29,2019,May,5,Wednesday,4,0
515,2019-05-30,2019,May,5,Thursday,5,0
516,2019-05-31,2019,May,5,Friday,6,0
517,2019-06-01,2019,June,6,Saturday,7,0
518,2019-06-02,2019,June,6,Sunday,1,0
519,2019-06-03,2019,June,6,Monday,2,0
520,2019-06-04,2019,June,6,Tuesday,3,0
521,2019-06-05,2019,June,6,Wednesday,4,0
522,2019-06-06,2019,June,6,Thursday,5,0
523,2019-06-07,2019,June,6,Friday,6,0
524,2019-06-08,2019,June,6,Saturday,7,0
525,2019-06-09,2019,June,6,Sunday,1,0
526,2019-06-10,2019,June,6,Monday,2,0
527,2019-06-11,2019,June,6,Tuesday,3,0
528,2019-06-12,2019,June,6,Wednesday,4,0
529,2019-06-13,2019,June,6,Thursday,5,0
530,2019-06-14,2019,June,6,Friday,6,0
531,2019-06-15,2019,June,6,Saturday,7,0
532,2019-06-16,2019,June,6,Sunday,1,0
533,2019-06-17,2019,June,6,Monday,2,0
534,2019-06-18,2019,June,6,Tuesday,3,0
535,2019-06-19,2019,June,6,Wednesday,4,0
536,2019-06-20,2019,June,6,Thursday,5,0
537,2019-06-21,2019,June,6,Friday,6,0
538,2019-06-22,2019,June,6,Saturday,7,0
539,2019-06-23,2019,June,6,Sunday,1,0
540,2019-06-24,2019,June,6,Monday,2,0
541,2019-06-25,2019,June,6,Tuesday,3,0
542,2019-06-26,2019,June,6,Wednesday,4,0
543,2019-06-27,2019,June,6,Thursday,5,0
544,2019-06-28,2019,June,6,Friday,6,0
545,2019-06-29,2019,June,6,Saturday,7,0
546,2019-06-30,2019,June,6,Sunday,1,0
547,2019-07-01,2019,July,7,Monday,2,0
548,2019-07-02,2019,July,7,Tuesday,3,0
549,2019-07-03,2019,July,7,Wednesday,4,0
550,2019-07-04,2019,July,7,Thursday,5,0
551,2019-07-05,2019,July,7,Friday,6,0
552,2019-07-06,2019,July,7,Saturday,7,0
553,2019-07-07,2019,July,7,Sunday,1,0
554,2019-07-08,2019,July,7,Monday,2,0
555,2019-07-09,2019,July,7,Tuesday,3,0
556,2019-07-10,2019,July,7,Wednesday,4,0
